Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount,Last Save ID,Last Sale ID,Transaction ID,Reporting Gap
Dan Newhouse,BKNG,28.017083439955385,[20003763523],"[20003763524, 20003772728]",8000.0,16000.0,20003772728,20003772728,20003772728,15
Dan Newhouse,CRM,34.21355833924724,[20003763556],[20003772751],8000.0,8000.0,20003772751,20003772751,20003772751,15
Dan Newhouse,DE,5.145872188448921,"[20003763530, 20003763529]",[20003763528],16000.0,8000.0,20003763528,20003763528,20003763528,70
Dan Newhouse,INTU,54.11159769733555,[20003763538],[20003772740],8000.0,8000.0,20003772740,20003772740,20003772740,15
Dan Newhouse,LLY,49.941860726576465,[20003763531],"[20003763532, 20003772735]",8000.0,16000.0,20003772735,20003772735,20003772735,15
Dan Newhouse,MPC,41.04301257015647,[20003763543],"[20003763542, 20003763544, 20003772741]",8000.0,24000.0,20003772741,20003772741,20003772741,15
Dan Newhouse,MSFT,25.53015578985127,[20003763545],[20003772742],8000.0,8000.0,20003772742,20003772742,20003772742,15
Dan Newhouse,NFLX,38.6968610692599,[20003763548],[20003772743],8000.0,8000.0,20003772743,20003772743,20003772743,15
Dan Newhouse,NOW,72.38879850352761,[20003763557],[20003772752],8000.0,8000.0,20003772752,20003772752,20003772752,15
Dan Newhouse,NVDA,56.55895716674271,"[20003763551, 20003763550]","[20003763552, 20003772746]",16000.0,16000.0,20003772746,20003772746,20003772746,15
Dan Newhouse,PG,3.3319455463463106,"[20003763555, 20003763554]",[20003772749],16000.0,8000.0,20003772749,20003772749,20003772749,15
Dan Newhouse,SBUX,17.07887345972881,[20003763559],[20003763558],8000.0,8000.0,20003763558,20003763558,20003763558,70
Dan Newhouse,ULTA,27.868349509171246,[20003763566],"[20003763564, 20003763565]",8000.0,16000.0,20003763565,20003763565,20003763565,70
Dan Sullivan,AAPL,24.081606578592012,"[10000060513, 10000060521, 10000060529]",[10000061380],24000.0,32500.0,10000061380,10000061380,10000061380,31
Dan Sullivan,ALGN,83.7569233089085,[10000060657],[10000061374],8000.0,8000.0,10000061374,10000061374,10000061374,31
Dan Sullivan,AMZN,60.62386899899582,"[10000060514, 10000060522, 10000060530, 10000060656]",[10000061376],32000.0,8000.0,10000061376,10000061376,10000061376,31
Dan Sullivan,CHD,21.010724238394435,"[10000060746, 10000060745]",[10000061386],16000.0,8000.0,10000061386,10000061386,10000061386,31
Dan Sullivan,GOOGL,69.01240367702893,[10000060747],[10000061375],8000.0,32500.0,10000061375,10000061375,10000061375,31
Dan Sullivan,LRCX,56.69452252425267,[10000061220],[10000061418],8000.0,8000.0,10000061418,10000061418,10000061418,31
Dan Sullivan,MSFT,40.4529689334758,"[10000060511, 10000060519, 10000060527, 10000061219]",[10000061420],56500.0,75000.0,10000061420,10000061420,10000061420,31
Dan Sullivan,TJX,15.571627182220476,[10000061217],[10000061427],8000.0,32500.0,10000061427,10000061427,10000061427,31
Dan Sullivan,TMO,-8.155181889694678,[10000061218],[10000061426],8000.0,8000.0,10000061426,10000061426,10000061426,31
Dan Sullivan,ZTS,24.618336254768586,"[10000061216, 10000060655]",[10000061430],16000.0,8000.0,10000061430,10000061430,10000061430,31
Daniel S. Goldman,ABBV,-9.25240209820596,"[20003759141, 20003762036]","[20003763187, 20003766064, 20003766063]",16000.0,115500.0,20003766063,20003766063,20003766063,30
Daniel S. Goldman,ADDYY,15.918830228735853,[20003762038],[20003766067],8000.0,32500.0,20003766067,20003766067,20003766067,34
Daniel S. Goldman,ADM,-9.353398662053538,[20003762057],[20003766098],75000.0,75000.0,20003766098,20003766098,20003766098,32
Daniel S. Goldman,ADRNY,17.49902795903228,[20003761265],[20003766309],8000.0,8000.0,20003766309,20003766309,20003766309,34
Daniel S. Goldman,ADYEY,21.307433002694683,"[20003761213, 20003762039]",[20003766070],40500.0,75000.0,20003766070,20003766070,20003766070,34
Daniel S. Goldman,AEG,72.27719566280358,[20003762040],[20003766071],32500.0,32500.0,20003766071,20003766071,20003766071,34
Daniel S. Goldman,AIG,-147.44297478057044,[20003762049],"[20003763197, 20003763198]",8000.0,40500.0,20003763198,20003763198,20003763198,39
